employee_number,age,department,job_role,job_level,business_travel,overtime,marital_status,gender,monthly_income,years_at_company,tenure_band,income_quartile,job_satisfaction_label,attrition_flag,replacement_cost,replacement_cost_pct_salary
477,42,Engineering,Solutions Consultant,2,Travel_Rarely,false,Single,Male,6781.0,1,0-1 yr,Q3,4 Very High,0,48145.100000000006,0.5916666666666668
478,21,Sales,Sales Representative,1,Travel_Frequently,true,Single,Female,2174.0,3,2-3 yrs,Q1 (lowest),2 Medium,1,14348.400000000001,0.55
479,36,Sales,Sales Executive,2,Non-Travel,false,Single,Female,6653.0,1,0-1 yr,Q3,4 Very High,0,47236.3,0.5916666666666667
481,36,Sales,Sales Executive,3,Travel_Frequently,false,Married,Male,9699.0,13,10+ yrs,Q4 (highest),4 Very High,0,78561.9,0.6749999999999999
482,57,Engineering,Solutions Consultant,2,Travel_Rarely,false,Married,Male,6755.0,3,2-3 yrs,Q3,3 High,0,47960.5,0.5916666666666667
483,40,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Married,Female,2213.0,7,7-10 yrs,Q1 (lowest),3 High,0,14605.800000000001,0.55
484,21,Sales,Sales Representative,1,Non-Travel,false,Single,Male,2610.0,3,2-3 yrs,Q1 (lowest),4 Very High,0,17226.0,0.55
485,33,Sales,Sales Representative,1,Travel_Rarely,true,Single,Female,2851.0,1,0-1 yr,Q1 (lowest),3 High,1,18816.6,0.5499999999999999
486,37,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Female,3452.0,5,4-6 yrs,Q2,1 Low,0,22783.2,0.55
487,46,Engineering,Platform / DevOps Lead,2,Non-Travel,false,Married,Female,5258.0,1,0-1 yr,Q3,3 High,0,37331.8,0.5916666666666667
488,41,Sales,Sales Executive,2,Travel_Frequently,false,Single,Male,9355.0,8,7-10 yrs,Q4 (highest),2 Medium,1,66420.5,0.5916666666666667
491,50,Engineering,Solutions Consultant,3,Travel_Rarely,false,Single,Male,10496.0,4,4-6 yrs,Q4 (highest),4 Very High,0,85017.6,0.675
492,40,Sales,Sales Executive,2,Travel_Rarely,true,Married,Male,6380.0,6,4-6 yrs,Q3,3 High,1,45298.0,0.5916666666666667
493,31,Engineering,Software Engineer,1,Travel_Rarely,true,Single,Male,2657.0,2,2-3 yrs,Q1 (lowest),2 Medium,0,17536.2,0.55
494,21,Sales,Sales Representative,1,Travel_Rarely,false,Single,Female,2716.0,1,0-1 yr,Q1 (lowest),2 Medium,1,17925.6,0.5499999999999999
495,29,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,2201.0,3,2-3 yrs,Q1 (lowest),4 Very High,0,14526.6,0.55
496,35,Engineering,Solutions Consultant,2,Travel_Rarely,false,Single,Male,6540.0,1,0-1 yr,Q3,2 Medium,0,46434.0,0.5916666666666667
497,27,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Male,3816.0,5,4-6 yrs,Q2,2 Medium,0,25185.6,0.5499999999999999
498,28,Sales,Sales Executive,2,Travel_Rarely,false,Single,Male,5253.0,7,7-10 yrs,Q3,4 Very High,0,37296.3,0.5916666666666667
499,49,Engineering,Solutions Consultant,3,Travel_Rarely,false,Single,Male,10965.0,5,4-6 yrs,Q4 (highest),3 High,0,88816.5,0.675
500,51,Sales,Sales Executive,2,Travel_Rarely,false,Married,Female,4936.0,7,7-10 yrs,Q3,4 Very High,0,35045.600000000006,0.5916666666666668
501,36,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Female,2543.0,2,2-3 yrs,Q1 (lowest),3 High,0,16783.800000000003,0.55
502,34,Sales,Sales Executive,2,Non-Travel,true,Single,Male,5304.0,5,4-6 yrs,Q3,4 Very High,1,37658.4,0.5916666666666667
505,55,Engineering,Manager,4,Travel_Rarely,true,Single,Female,16659.0,5,4-6 yrs,Q4 (highest),4 Very High,0,159926.40000000002,0.8000000000000002
507,24,Sales,Sales Executive,2,Travel_Rarely,true,Divorced,Female,4260.0,5,4-6 yrs,Q2,3 High,0,30246.0,0.5916666666666667
508,30,Sales,Sales Representative,1,Travel_Rarely,false,Married,Male,2476.0,1,0-1 yr,Q1 (lowest),2 Medium,0,16341.6,0.55
510,26,Engineering,Software Engineer,1,Travel_Frequently,false,Single,Male,3102.0,6,4-6 yrs,Q2,1 Low,1,20473.2,0.55
511,22,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Female,2244.0,2,2-3 yrs,Q1 (lowest),2 Medium,0,14810.400000000001,0.55
513,36,Sales,Sales Executive,3,Travel_Rarely,false,Married,Male,7596.0,10,7-10 yrs,Q3,3 High,0,61527.600000000006,0.675
514,30,Engineering,Software Engineer,1,Travel_Frequently,true,Single,Male,2285.0,1,0-1 yr,Q1 (lowest),4 Very High,1,15081.0,0.55
515,37,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Female,3034.0,18,10+ yrs,Q2,1 Low,0,20024.4,0.55
516,40,Sales,Sales Executive,2,Travel_Rarely,false,Divorced,Female,5715.0,5,4-6 yrs,Q3,2 Medium,0,40576.5,0.5916666666666667
517,42,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Female,2576.0,5,4-6 yrs,Q1 (lowest),1 Low,0,17001.6,0.5499999999999999
518,37,Engineering,Platform / DevOps Lead,2,Travel_Rarely,true,Single,Male,4197.0,1,0-1 yr,Q2,2 Medium,0,29798.7,0.5916666666666667
520,43,Engineering,Engineering Director,4,Travel_Rarely,false,Divorced,Male,14336.0,25,10+ yrs,Q4 (highest),2 Medium,0,137625.6,0.8
521,40,Engineering,QA / Support Engineer,2,Travel_Rarely,false,Married,Female,3448.0,1,0-1 yr,Q2,3 High,0,24480.800000000003,0.5916666666666668
522,54,Engineering,Engineering Director,5,Travel_Rarely,false,Married,Male,19406.0,4,4-6 yrs,Q4 (highest),1 Low,0,205703.6,0.8833333333333333
523,34,Sales,Sales Executive,2,Non-Travel,false,Married,Female,6538.0,3,2-3 yrs,Q3,3 High,0,46419.8,0.5916666666666667
524,31,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Married,Female,4306.0,13,10+ yrs,Q2,1 Low,0,30572.600000000002,0.5916666666666667
525,43,Engineering,QA / Support Engineer,1,Travel_Frequently,false,Married,Male,2258.0,3,2-3 yrs,Q1 (lowest),4 Very High,0,14902.800000000001,0.55
526,43,Engineering,Solutions Consultant,2,Travel_Rarely,true,Divorced,Female,4522.0,5,4-6 yrs,Q2,3 High,0,32106.2,0.5916666666666667
527,25,Sales,Sales Executive,2,Travel_Rarely,true,Single,Female,4487.0,5,4-6 yrs,Q2,4 Very High,0,31857.7,0.5916666666666667
529,37,Engineering,Software Engineer,2,Non-Travel,true,Married,Female,4449.0,13,10+ yrs,Q2,3 High,0,31587.9,0.5916666666666667
530,31,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2218.0,4,4-6 yrs,Q1 (lowest),1 Low,0,14638.800000000001,0.55
531,39,Engineering,Manager,5,Travel_Frequently,true,Divorced,Male,19197.0,21,10+ yrs,Q4 (highest),3 High,0,203488.2,0.8833333333333334
532,56,Sales,Sales Executive,4,Travel_Frequently,false,Married,Female,13212.0,7,7-10 yrs,Q4 (highest),1 Low,0,126835.20000000001,0.8
533,30,Sales,Sales Executive,2,Travel_Rarely,false,Single,Female,6577.0,5,4-6 yrs,Q3,3 High,0,46696.7,0.5916666666666667
534,41,Sales,Sales Executive,3,Travel_Rarely,false,Married,Male,8392.0,10,7-10 yrs,Q4 (highest),1 Low,0,67975.20000000001,0.6750000000000002
536,28,Engineering,QA / Support Engineer,2,Travel_Rarely,false,Divorced,Male,4558.0,10,7-10 yrs,Q2,1 Low,0,32361.800000000003,0.5916666666666667
538,25,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,4031.0,2,2-3 yrs,Q2,1 Low,1,26604.6,0.5499999999999999
543,52,Engineering,Platform / DevOps Lead,3,Travel_Rarely,true,Married,Male,7969.0,5,4-6 yrs,Q3,3 High,0,64548.9,0.675
544,45,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2654.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,17516.4,0.55
546,52,Engineering,Manager,4,Travel_Rarely,false,Married,Female,16555.0,5,4-6 yrs,Q4 (highest),4 Very High,0,158928.0,0.8
547,42,Engineering,Software Engineer,2,Travel_Frequently,false,Divorced,Female,4556.0,5,4-6 yrs,Q2,3 High,0,32347.600000000002,0.5916666666666667
548,30,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Single,Female,6091.0,5,4-6 yrs,Q3,4 Very High,0,43246.100000000006,0.5916666666666668
549,60,Engineering,Manager,5,Travel_Rarely,false,Married,Female,19566.0,29,10+ yrs,Q4 (highest),1 Low,0,207399.6,0.8833333333333333
550,46,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Divorced,Female,4810.0,10,7-10 yrs,Q2,3 High,0,34151.0,0.5916666666666667
551,42,Engineering,Solutions Consultant,2,Travel_Frequently,false,Married,Female,4523.0,6,4-6 yrs,Q2,4 Very High,0,32113.300000000003,0.5916666666666667
554,24,Sales,Sales Representative,1,Travel_Rarely,true,Single,Female,3202.0,5,4-6 yrs,Q2,2 Medium,1,21133.2,0.55
555,34,Sales,Sales Representative,1,Travel_Frequently,false,Divorced,Female,2351.0,2,2-3 yrs,Q1 (lowest),3 High,1,15516.6,0.55
556,38,Engineering,QA / Support Engineer,1,Travel_Frequently,true,Married,Male,1702.0,1,0-1 yr,Q1 (lowest),4 Very High,0,11233.2,0.55
558,40,Sales,Manager,5,Travel_Rarely,false,Married,Female,18041.0,20,10+ yrs,Q4 (highest),3 High,0,191234.6,0.8833333333333334
560,26,Engineering,Software Engineer,1,Travel_Rarely,false,Divorced,Female,2886.0,3,2-3 yrs,Q1 (lowest),4 Very High,0,19047.6,0.5499999999999999
562,30,Engineering,QA / Support Engineer,1,Non-Travel,false,Married,Male,2097.0,5,4-6 yrs,Q1 (lowest),4 Very High,0,13840.2,0.55
564,29,Engineering,Engineering Director,3,Travel_Rarely,false,Married,Male,11935.0,10,7-10 yrs,Q4 (highest),3 High,0,96673.5,0.675
565,29,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Female,2546.0,2,2-3 yrs,Q1 (lowest),2 Medium,1,16803.6,0.5499999999999999
566,19,Human Resources,Human Resources,1,Travel_Rarely,false,Single,Male,2564.0,1,0-1 yr,Q1 (lowest),4 Very High,1,16922.4,0.55
567,30,Sales,Sales Executive,3,Non-Travel,false,Married,Female,8412.0,9,7-10 yrs,Q4 (highest),1 Low,0,68137.20000000001,0.6750000000000002
568,57,Sales,Manager,4,Travel_Rarely,false,Divorced,Male,14118.0,1,0-1 yr,Q4 (highest),4 Very High,0,135532.8,0.7999999999999999
569,50,Engineering,Manager,4,Travel_Rarely,false,Married,Male,17046.0,27,10+ yrs,Q4 (highest),3 High,0,163641.6,0.8
571,30,Engineering,QA / Support Engineer,1,Non-Travel,false,Single,Female,2564.0,11,10+ yrs,Q1 (lowest),4 Very High,0,16922.4,0.55
573,60,Sales,Sales Executive,3,Travel_Frequently,false,Married,Female,10266.0,18,10+ yrs,Q4 (highest),1 Low,0,83154.6,0.675
574,47,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Divorced,Female,5070.0,5,4-6 yrs,Q3,4 Very High,0,35997.0,0.5916666666666667
575,46,Engineering,Engineering Director,4,Travel_Rarely,false,Married,Male,17861.0,3,2-3 yrs,Q4 (highest),3 High,0,171465.6,0.8
577,35,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Male,4230.0,5,4-6 yrs,Q2,3 High,0,27918.0,0.55
578,54,Engineering,QA / Support Engineer,2,Travel_Rarely,false,Single,Female,3780.0,1,0-1 yr,Q2,3 High,0,26838.0,0.5916666666666667
579,34,Engineering,Software Engineer,1,Travel_Rarely,false,Divorced,Male,2768.0,7,7-10 yrs,Q1 (lowest),3 High,0,18268.800000000003,0.55
580,46,Sales,Sales Executive,3,Travel_Rarely,true,Married,Female,9071.0,3,2-3 yrs,Q4 (highest),4 Very High,0,73475.1,0.675
581,31,Engineering,Platform / DevOps Lead,3,Travel_Rarely,false,Divorced,Male,10648.0,13,10+ yrs,Q4 (highest),2 Medium,0,86248.8,0.675
582,33,Engineering,Manager,3,Travel_Rarely,true,Married,Male,13610.0,7,7-10 yrs,Q4 (highest),3 High,1,110241.0,0.675
584,33,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Male,3408.0,4,4-6 yrs,Q2,4 Very High,1,22492.800000000003,0.55
585,30,Sales,Sales Representative,1,Travel_Rarely,false,Single,Male,2983.0,3,2-3 yrs,Q2,2 Medium,0,19687.800000000003,0.55
586,35,Engineering,Solutions Consultant,3,Travel_Rarely,true,Married,Male,7632.0,8,7-10 yrs,Q3,3 High,0,61819.2,0.6749999999999999
587,31,Engineering,Solutions Consultant,3,Travel_Frequently,false,Married,Male,9824.0,1,0-1 yr,Q4 (highest),3 High,1,79574.4,0.6749999999999999
590,34,Human Resources,Human Resources,3,Travel_Frequently,true,Divorced,Female,9950.0,3,2-3 yrs,Q4 (highest),1 Low,1,80595.0,0.675
591,42,Engineering,QA / Support Engineer,1,Travel_Frequently,false,Married,Male,2093.0,2,2-3 yrs,Q1 (lowest),3 High,0,13813.800000000001,0.55
592,36,Sales,Sales Executive,3,Non-Travel,false,Single,Male,9980.0,10,7-10 yrs,Q4 (highest),4 Very High,0,80838.0,0.675
593,22,Engineering,QA / Support Engineer,1,Travel_Frequently,false,Single,Male,3894.0,2,2-3 yrs,Q2,3 High,1,25700.4,0.55
595,48,Sales,Sales Executive,2,Travel_Rarely,false,Married,Female,4051.0,9,7-10 yrs,Q2,4 Very High,0,28762.1,0.5916666666666667
597,55,Sales,Manager,4,Travel_Rarely,false,Single,Female,16835.0,10,7-10 yrs,Q4 (highest),2 Medium,0,161616.0,0.8
599,41,Sales,Sales Executive,2,Non-Travel,false,Single,Male,6230.0,14,10+ yrs,Q3,4 Very High,0,44233.0,0.5916666666666667
600,35,Sales,Sales Executive,2,Travel_Rarely,false,Married,Male,4717.0,11,10+ yrs,Q2,3 High,0,33490.7,0.5916666666666666
601,40,Engineering,Platform / DevOps Lead,4,Travel_Rarely,false,Single,Female,13237.0,20,10+ yrs,Q4 (highest),3 High,0,127075.20000000001,0.8
602,39,Engineering,QA / Support Engineer,1,Travel_Frequently,false,Married,Female,3755.0,8,7-10 yrs,Q2,3 High,0,24783.0,0.55
604,31,Sales,Sales Executive,2,Travel_Rarely,true,Single,Male,6582.0,6,4-6 yrs,Q3,4 Very High,0,46732.2,0.5916666666666667
605,42,Engineering,Platform / DevOps Lead,3,Travel_Rarely,true,Married,Male,7406.0,10,7-10 yrs,Q3,1 Low,0,59988.600000000006,0.675
606,45,Sales,Sales Executive,2,Travel_Rarely,false,Married,Male,4805.0,8,7-10 yrs,Q2,2 Medium,0,34115.5,0.5916666666666667
608,26,Human Resources,Human Resources,1,Travel_Frequently,true,Divorced,Female,2741.0,7,7-10 yrs,Q1 (lowest),3 High,1,18090.6,0.5499999999999999
611,29,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Divorced,Male,4262.0,3,2-3 yrs,Q2,4 Very High,0,30260.2,0.5916666666666667
612,33,Engineering,Engineering Director,4,Travel_Rarely,false,Divorced,Female,16184.0,6,4-6 yrs,Q4 (highest),3 High,0,155366.4,0.7999999999999999
613,31,Sales,Manager,3,Travel_Rarely,false,Divorced,Male,11557.0,5,4-6 yrs,Q4 (highest),4 Very High,0,93611.70000000001,0.675
614,18,Sales,Sales Representative,1,Travel_Frequently,true,Single,Male,1878.0,0,0-1 yr,Q1 (lowest),2 Medium,1,12394.8,0.5499999999999999
615,40,Sales,Sales Executive,3,Non-Travel,false,Divorced,Male,10932.0,1,0-1 yr,Q4 (highest),1 Low,0,88549.20000000001,0.675
616,41,Engineering,Solutions Consultant,2,Non-Travel,true,Single,Female,6811.0,8,7-10 yrs,Q3,3 High,0,48358.100000000006,0.5916666666666668
618,26,Sales,Sales Executive,2,Travel_Rarely,false,Divorced,Male,4306.0,0,0-1 yr,Q2,3 High,0,30572.600000000002,0.5916666666666667
620,35,Sales,Sales Executive,2,Travel_Rarely,false,Single,Female,4859.0,5,4-6 yrs,Q2,3 High,0,34498.9,0.5916666666666667
621,34,Sales,Sales Executive,2,Travel_Rarely,false,Single,Male,5337.0,10,7-10 yrs,Q3,4 Very High,0,37892.7,0.5916666666666667
622,26,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Single,Male,2340.0,1,0-1 yr,Q1 (lowest),4 Very High,1,15444.0,0.55
623,37,Engineering,Platform / DevOps Lead,3,Travel_Rarely,false,Single,Female,7491.0,6,4-6 yrs,Q3,4 Very High,0,60677.100000000006,0.675
624,46,Engineering,Solutions Consultant,3,Travel_Frequently,false,Married,Female,10527.0,2,2-3 yrs,Q4 (highest),3 High,0,85268.70000000001,0.675
625,41,Sales,Manager,4,Travel_Rarely,false,Married,Female,16595.0,18,10+ yrs,Q4 (highest),1 Low,0,159312.0,0.8
626,37,Sales,Sales Executive,3,Non-Travel,false,Divorced,Male,8834.0,9,7-10 yrs,Q4 (highest),2 Medium,0,71555.4,0.6749999999999999
630,52,Engineering,Software Engineer,2,Travel_Rarely,true,Divorced,Male,5577.0,10,7-10 yrs,Q3,1 Low,0,39596.7,0.5916666666666667
631,32,Sales,Sales Executive,2,Non-Travel,false,Married,Male,4707.0,4,4-6 yrs,Q2,3 High,1,33419.7,0.5916666666666666
632,24,Sales,Sales Representative,1,Travel_Frequently,false,Married,Male,2400.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,15840.0,0.55
634,38,Engineering,Solutions Consultant,2,Travel_Rarely,false,Married,Female,9824.0,1,0-1 yr,Q4 (highest),3 High,0,69750.4,0.5916666666666666
635,37,Engineering,Platform / DevOps Lead,2,Travel_Rarely,false,Married,Female,6447.0,6,4-6 yrs,Q3,2 Medium,0,45773.7,0.5916666666666667
638,49,Engineering,Engineering Director,5,Travel_Rarely,true,Divorced,Male,19502.0,31,10+ yrs,Q4 (highest),3 High,0,206721.2,0.8833333333333334
639,24,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Male,2725.0,6,4-6 yrs,Q1 (lowest),4 Very High,0,17985.0,0.55
641,26,Sales,Sales Executive,2,Travel_Rarely,false,Married,Male,6272.0,5,4-6 yrs,Q3,2 Medium,0,44531.2,0.5916666666666667
643,24,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2127.0,1,0-1 yr,Q1 (lowest),2 Medium,0,14038.2,0.55
644,50,Human Resources,Manager,5,Travel_Frequently,false,Married,Male,18200.0,32,10+ yrs,Q4 (highest),2 Medium,0,192920.0,0.8833333333333333
645,25,Sales,Sales Representative,1,Travel_Rarely,false,Married,Male,2096.0,7,7-10 yrs,Q1 (lowest),3 High,0,13833.6,0.55
647,24,Engineering,QA / Support Engineer,1,Travel_Frequently,true,Married,Female,2886.0,6,4-6 yrs,Q1 (lowest),3 High,1,19047.6,0.5499999999999999
648,30,Sales,Sales Representative,1,Travel_Frequently,false,Married,Male,2033.0,1,0-1 yr,Q1 (lowest),1 Low,1,13417.8,0.5499999999999999
649,34,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Male,3622.0,6,4-6 yrs,Q2,4 Very High,0,23905.2,0.55
650,31,Sales,Sales Executive,2,Travel_Rarely,false,Divorced,Male,4233.0,3,2-3 yrs,Q2,1 Low,1,30054.300000000003,0.5916666666666667
652,35,Engineering,QA / Support Engineer,2,Travel_Rarely,false,Single,Male,3681.0,3,2-3 yrs,Q2,4 Very High,0,26135.1,0.5916666666666667
653,31,Sales,Sales Executive,2,Travel_Rarely,false,Divorced,Male,5460.0,7,7-10 yrs,Q3,4 Very High,0,38766.0,0.5916666666666667
655,27,Engineering,Software Engineer,1,Travel_Rarely,false,Divorced,Female,2187.0,5,4-6 yrs,Q1 (lowest),3 High,0,14434.2,0.55
656,37,Sales,Sales Executive,2,Travel_Rarely,true,Married,Male,9602.0,3,2-3 yrs,Q4 (highest),3 High,0,68174.20000000001,0.5916666666666668
657,20,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Female,2836.0,1,0-1 yr,Q1 (lowest),2 Medium,0,18717.6,0.5499999999999999
659,42,Engineering,Solutions Consultant,2,Travel_Rarely,false,Married,Female,4089.0,10,7-10 yrs,Q2,4 Very High,0,29031.9,0.5916666666666667
661,43,Engineering,Engineering Director,4,Travel_Rarely,true,Divorced,Male,16627.0,1,0-1 yr,Q4 (highest),4 Very High,0,159619.2,0.8
662,38,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Female,2619.0,0,0-1 yr,Q1 (lowest),1 Low,0,17285.4,0.55
663,43,Engineering,QA / Support Engineer,2,Travel_Frequently,true,Divorced,Male,5679.0,8,7-10 yrs,Q3,3 High,0,40320.9,0.5916666666666667
664,48,Engineering,Manager,4,Travel_Rarely,false,Married,Female,15402.0,3,2-3 yrs,Q4 (highest),1 Low,0,147859.2,0.8
665,44,Human Resources,Human Resources,2,Travel_Rarely,false,Single,Female,5985.0,2,2-3 yrs,Q3,3 High,0,42493.5,0.5916666666666667
666,34,Sales,Sales Representative,1,Travel_Rarely,true,Divorced,Female,2579.0,8,7-10 yrs,Q1 (lowest),3 High,0,17021.4,0.55
667,27,Sales,Sales Representative,1,Travel_Rarely,false,Divorced,Male,3041.0,4,4-6 yrs,Q2,1 Low,1,20070.6,0.5499999999999999
669,21,Sales,Sales Representative,1,Travel_Rarely,false,Single,Male,3447.0,3,2-3 yrs,Q2,3 High,0,22750.2,0.55
671,44,Engineering,Manager,5,Travel_Rarely,true,Married,Male,19513.0,2,2-3 yrs,Q4 (highest),4 Very High,0,206837.8,0.8833333333333333
675,22,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2773.0,2,2-3 yrs,Q1 (lowest),3 High,0,18301.800000000003,0.55
677,33,Sales,Sales Executive,2,Travel_Rarely,false,Divorced,Male,7104.0,5,4-6 yrs,Q3,3 High,0,50438.4,0.5916666666666667
679,32,Engineering,Software Engineer,2,Travel_Rarely,true,Married,Female,6322.0,6,4-6 yrs,Q3,4 Very High,0,44886.2,0.5916666666666667
680,30,Engineering,Software Engineer,1,Travel_Frequently,false,Divorced,Female,2083.0,1,0-1 yr,Q1 (lowest),3 High,0,13747.800000000001,0.55
682,53,Sales,Sales Executive,2,Travel_Rarely,false,Single,Female,8381.0,14,10+ yrs,Q4 (highest),1 Low,0,59505.100000000006,0.5916666666666667
683,34,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2691.0,10,7-10 yrs,Q1 (lowest),4 Very High,0,17760.6,0.5499999999999999
684,45,Sales,Sales Executive,2,Travel_Frequently,false,Married,Female,4286.0,1,0-1 yr,Q2,1 Low,1,30430.600000000002,0.5916666666666667
686,26,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Married,Female,2659.0,3,2-3 yrs,Q1 (lowest),4 Very High,0,17549.4,0.55
689,37,Engineering,Platform / DevOps Lead,3,Travel_Rarely,false,Married,Male,9434.0,10,7-10 yrs,Q4 (highest),3 High,0,76415.4,0.6749999999999999
690,29,Sales,Sales Executive,2,Travel_Rarely,false,Married,Female,5561.0,6,4-6 yrs,Q3,3 High,0,39483.100000000006,0.5916666666666668
691,35,Engineering,Software Engineer,2,Travel_Rarely,false,Single,Male,6646.0,17,10+ yrs,Q3,4 Very High,0,47186.600000000006,0.5916666666666668
692,33,Engineering,Solutions Consultant,2,Travel_Frequently,false,Divorced,Male,7725.0,13,10+ yrs,Q3,4 Very High,0,54847.5,0.5916666666666667
698,54,Human Resources,Human Resources,3,Travel_Rarely,false,Married,Male,10725.0,9,7-10 yrs,Q4 (highest),2 Medium,0,86872.5,0.675
699,36,Engineering,Platform / DevOps Lead,2,Travel_Rarely,true,Divorced,Male,8847.0,3,2-3 yrs,Q4 (highest),2 Medium,0,62813.700000000004,0.5916666666666667
700,27,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,2045.0,4,4-6 yrs,Q1 (lowest),4 Very High,0,13497.0,0.55
701,20,Engineering,Software Engineer,1,Travel_Rarely,true,Single,Male,1009.0,1,0-1 yr,Q1 (lowest),3 High,1,6659.4,0.5499999999999999
702,33,Engineering,Software Engineer,1,Travel_Frequently,true,Single,Male,3348.0,10,7-10 yrs,Q2,1 Low,1,22096.800000000003,0.55
704,35,Engineering,QA / Support Engineer,1,Non-Travel,false,Married,Male,1281.0,1,0-1 yr,Q1 (lowest),3 High,0,8454.6,0.55
705,23,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,2819.0,3,2-3 yrs,Q1 (lowest),1 Low,0,18605.4,0.55
707,25,Sales,Sales Executive,2,Travel_Rarely,false,Married,Male,4851.0,3,2-3 yrs,Q2,2 Medium,0,34442.100000000006,0.5916666666666668
709,38,Sales,Sales Executive,2,Travel_Rarely,false,Single,Female,4028.0,7,7-10 yrs,Q2,4 Very High,0,28598.800000000003,0.5916666666666667
710,29,Engineering,Software Engineer,1,Travel_Frequently,false,Divorced,Male,2720.0,10,7-10 yrs,Q1 (lowest),4 Very High,0,17952.0,0.55
712,48,Sales,Sales Executive,2,Travel_Rarely,false,Married,Male,8120.0,2,2-3 yrs,Q3,2 Medium,0,57652.0,0.5916666666666667
714,27,Sales,Sales Executive,2,Travel_Frequently,true,Divorced,Female,4647.0,6,4-6 yrs,Q2,4 Very High,0,32993.7,0.5916666666666666
715,37,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,4680.0,1,0-1 yr,Q2,4 Very High,0,30888.0,0.55
716,50,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Married,Male,3221.0,20,10+ yrs,Q2,3 High,0,21258.6,0.5499999999999999
717,34,Engineering,Solutions Consultant,3,Travel_Rarely,false,Single,Female,8621.0,8,7-10 yrs,Q4 (highest),2 Medium,0,69830.1,0.675
720,24,Sales,Sales Executive,2,Travel_Rarely,false,Single,Female,4577.0,2,2-3 yrs,Q2,3 High,1,32496.7,0.5916666666666667
721,39,Engineering,Solutions Consultant,2,Travel_Rarely,false,Single,Female,4553.0,20,10+ yrs,Q2,3 High,0,32326.300000000003,0.5916666666666667
722,32,Sales,Sales Executive,2,Travel_Rarely,false,Single,Male,5396.0,10,7-10 yrs,Q3,4 Very High,0,38311.600000000006,0.5916666666666668
723,50,Sales,Sales Executive,2,Travel_Frequently,true,Married,Male,6796.0,4,4-6 yrs,Q3,3 High,1,48251.600000000006,0.5916666666666668
724,38,Engineering,Solutions Consultant,2,Travel_Rarely,false,Single,Female,7625.0,9,7-10 yrs,Q3,4 Very High,0,54137.5,0.5916666666666667
725,27,Engineering,Platform / DevOps Lead,3,Travel_Rarely,false,Married,Female,7412.0,9,7-10 yrs,Q3,1 Low,0,60037.2,0.6749999999999999
727,32,Engineering,Engineering Director,3,Travel_Rarely,false,Single,Female,11159.0,7,7-10 yrs,Q4 (highest),4 Very High,0,90387.9,0.6749999999999999
728,47,Sales,Sales Executive,2,Travel_Rarely,false,Single,Male,4960.0,7,7-10 yrs,Q3,1 Low,0,35216.0,0.5916666666666667
729,40,Sales,Sales Executive,3,Travel_Frequently,true,Married,Male,10475.0,18,10+ yrs,Q4 (highest),1 Low,0,84847.5,0.675
730,53,Engineering,Engineering Director,4,Travel_Rarely,false,Married,Male,14814.0,5,4-6 yrs,Q4 (highest),3 High,0,142214.4,0.7999999999999999
731,41,Human Resources,Manager,5,Travel_Rarely,false,Divorced,Male,19141.0,21,10+ yrs,Q4 (highest),4 Very High,0,202894.6,0.8833333333333333
732,60,Sales,Sales Executive,2,Travel_Rarely,false,Single,Male,5405.0,2,2-3 yrs,Q3,1 Low,0,38375.5,0.5916666666666667
